title,subject
The Hat,"Animals,Juvenile fiction,Fiction,Clothing and dress,Hedgehogs,Children's fiction,Hedgehogs, fiction,Hats, fiction,Hats,Picture books"
Winnie's haunted house,"Children's stories,Geister,Winnie the Witch (Fictitious character),Juvenile fiction,Hexe,Fiction,Witches,Haunted houses,Pictorial works,Children's fiction,Witches, fiction,Picture books"
I want my mom!,"Mothers and daughters,Kings, queens, rulers,Princesses,Fiction,Juvenile fiction,Children's fiction,Princesses, fiction,Mothers and daughters, fiction,Kings, queens, rulers, etc., fiction,Mothers,Mother and child, fiction,Picture books,Princesas,Madres e hijas,Ficción juvenil,Pequeña Princesa (Personaje literario),Libros de láminas,Pictorial works,Television, fiction"
Laser Moose and Rabbit Boy,"Children's fiction,Cartoons and comics,Picture books,Moose, fiction,Rabbits, fiction"
Where is the green sheep?,"Sheep,Stories in rhyme,Fiction,Children's fiction,Sleep, fiction,Juvenile fiction,Big books,Sheep, fiction,Spanish language materials,Bilingual,Board books,English-Spanish,Board books for children,Bilingual books,Children's Books/Baby-Preschool,Juvenile literature,picture books"
"Jesse Bear, what will you wear?","Bears,Stories in rhyme,Juvenile fiction,Fiction,Toy and movable books,Juvenile poetry,Rhyme,Picture books for children,Picture books,Children's fiction,Bears, fiction,Clothing and dress, fiction"
Underwear!,"Bison,Buffaloes,Fiction,Grassland animals,Juvenile fiction,Underwear,Board books,Children's fiction,Clothing and dress, fiction,Picture books for children,Picture books,Bison, fiction"
Crictor,"Fiction,Snakes,Juvenile fiction,Boa constrictor,Pets,Legends and stories,Picture books,Literature and fiction, juvenile,Children's fiction,Animals, fiction"
Shalom Everybodeee!,"Children's fiction,Monsters, fiction,Israel, fiction,Fiction,Email,Monsters,Juvenile fiction,Picture books,Electronic mail systems"
Where's Waldo?,"Motion pictures,Humorous stories,Picture puzzles,Literary recreations,Spanish language materials,Fiction,Voyages and travels,Production and direction,Juvenile literature,Juvenile fiction,Children's fiction,Voyages and travels, fiction,Amusements, juvenile literature,Puzzles, juvenile literature,Puzzles,Games,Amusements,Creative activities and seat work,Motion pictures, fiction,Picture books,Wit and humor, juvenile"
Little Beaver and the echo,"Somali language materials,Animals,Beavers,Juvenile fiction,Fiction,Bilingual,Friendship,Animal stories,English language readers,Modern languages: readers & reading schemes,Picture books,General,Children's Books/Ages 4-8 Fiction,English,Children: Grades 1-2,Children's fiction,Beavers, fiction,Loneliness, fiction,Sound, fiction"
A very special house,"Stories in rhyme,Juvenile fiction,Fiction,Imagination,Home,Dwellings,Houses,collectionID:caldecotthonor50,Children's fiction,Picture books,Houses, fiction,Folklore, united states"
Bears,"Bears -- Juvenile fiction,Bears,Juvenile fiction,Fiction,Children's fiction,Bears, fiction,Picture books,Stories in rhyme,Ficción juvenil,Cuentos en rima,Osos,Spanish language materials,Picture books for children"
ABC Passover Hunt,"Passover,Passover, juvenile literature,English language, alphabet, juvenile literature,Alphabet,Picture books"
Little Bear's Trousers Old Bear and Friends Old Bear Stories,"Bears,Ficción juvenil,Fiction,Juguetes,Juvenile fiction,Osos de felpa,Pantalones,Pants,Teddy bears,Toys,Assassination,Assassinat,Lincoln, Abraham, 1809-1865,Children's fiction,Bears, fiction,Picture books"
The boy who was followed home,"Children's stories,Fantasy,juvenile fiction,children's books,picture books,hippopotamus,hippopotami,giraffe,giraffes,Boys, fiction,Children's fiction,Child and youth fiction,Fantasy fiction,Schools, fiction"
First 1000 Words in German,"German language,Vocabulary,Language self-study & phrasebooks,Modern language learning material,Juvenile Nonfiction,Children's 4-8 - Foreign Language,German,Children: Kindergarten,Foreign Language Study - German,Language Arts - Vocabulary & Spelling,German language, juvenile literature,Juvenile literature,German language materials,Picture books"
The very fairy princess,"Gratitude,Schools,Fiction,Princesses,Children's fiction,Picture books,Values, fiction,Teachers, fiction,Schools, fiction,Princesses, fiction,Halloween, fiction,Marriage, fiction,Self-perception, fiction,Conduct of life, fiction,Girls, fiction"
Tiddler,"Children's fiction,Storytelling, fiction,Fishes, fiction,Stories in rhyme,Toy and movable books,Readers,Fishes,Pictorial works,Juvenile fiction,Storytelling,Fiction,Picture books"
Today is Monday,"Texts,Songs and music,Food,Children's songs,Juvenile literature,Songs,Erna hrung,Tiere,Kinderlied,Montag,Picture books,Food, juvenile literature"
Chicka chicka a b c,"Juvenile Fiction,Children's Books/Baby-Preschool,Children: Preschool,Stories in rhyme,Concepts - Alphabet,Juvenile Fiction / Concepts / Alphabet,Alphabet,Alphabet rhymes,Specimens,Toy and movable books,Fiction,Picture books,Alphabet books,Board books,On board pages,Juvenile fiction,English language,Alfabeto,Spanish language materials,Ficción juvenil,Inglés,Abecedarios,Children's fiction,Trees, fiction"
The biggest house in the world,"Children's stories,Fiction,Italian language materials,Juvenile fiction,Picture books,Snails,Children's fiction,Houses, fiction,Inter-American Development Bank"
Curious George Flies a Kite,"monkeys in fiction,Juvenile fiction,Children's stories,Fiction,Kites,Monkeys,Curiosity,Children's fiction,Kites, fiction,Monkeys, fiction,Curious george (fictitious character), fiction,Bilingual,Cometas (Aeronautica),Monos,Spanish language materials,Ficción juvenil,Libros bilingües,Friendship, fiction,Rabbits, fiction,Picture books for children,Picture books,Accelerated Reader 1.3.,Adventure and adventurers, fiction"
It's Halloween,"Children's poetry,Poetry,Juvenile poetry,Juvenile fiction,Halloween,Supernatural,Children's poetry, American,Halloween, juvenile literature,Picture books"
The Sneetches and other stories,"Toleration,Conduct of life,Children's stories, American,Juvenile fiction,Prejudices,Stories in verse,poetry,Fiction,Short stories,Stories in rhyme,Nonsense-verses,Fantasy,JUVENILE FICTION / Stories in Verse,Nonsense verses,JUVENILE FICTION / Classics,JUVENILE FICTION / Social Themes / Prejudice & Racism,Children's fiction,Humorous stories,Picture books,Prejudices, fiction,Toleration, fiction,Conduct of life, fiction"
Nijntje in de dierentuin,"Zoo animals in fiction,Rabbits,Zoo animals,Juvenile fiction,Miffy (Fictitious character),Fiction,Stories in rhyme,Rabbits in fiction,Zoos,Pictorial works,Child and youth fiction,Children's fiction,Zoo animals, fiction,Picture books,Zoos, fiction"
Five Little Monkeys Jumping on the Bed,"Spanish language materials,Children's poetry,Poetry,Juvenile fiction,Bilingual,Counting,Monkeys,Nursery rhymes,Counting books,Children's fiction,Monkeys, fiction,Animals, poetry,Stories in rhyme,Big books,Picture books"
The happy lion,"Leones,Friendship,Juvenile fiction,Fiction,Lion,Ficción juvenil,Lions,Juvenile literature,Children's fiction,Lion, fiction,Friendship, fiction,Picture books"
First 100 Words in Spanish,"Spanish language, dictionaries,Children: Babies Toddlers,Spanish language,Juvenile literature,Vocabulary,Inglés,Literatura juvenil,Vocabulario,Bilingual,Spanish language materials,Spanish language, juvenile literature,Picture books"
Bill and Pete,"Fiction,Birds,Plovers,Crocodiles,Juvenile fiction,Ficción juvenil,Chorlito,Pájaros,Cocodrilos,Spanish language materials,Children's fiction,Boys, fiction,Juvenile literature,picture books,Birds, fiction,Crocodiles, fiction,Friendship, fiction"
Little Cloud,"Big books,Clouds,Fiction,Juvenile fiction,Picture Books,Juvenile Literature,Children's fiction,Imagination, fiction,Weather, fiction,Toy and movable books,Sheep, fiction,JUVENILE FICTION / Classics,JUVENILE FICTION / Concepts / Size & Shape,JUVENILE FICTION / Nature & the Natural World / Weather,Nature, fiction,Drawing, technique"
Fox's Socks,"Children's fiction,Toy and movable books,Stories in rhyme,Picture books,Foxes,Juvenile fiction,Board books,Welsh language,Readers,Spanish language materials,Zorros,Novela juvenil"
The Pigeon finds a hot dog!,"Fiction,Sharing,Pigeons,Ducks,Juvenile fiction,Humorous stories,Children's fiction,Pigeons, fiction,Ducks, fiction,Sharing, fiction,New York Times reviewed,Birds,Picture books,Children's stories,Pictorials works,Partage,Romans, nouvelles, etc. pour la jeunesse,JUVENILE FICTION,Animals,Ducks, Geese,Humorous Stories,Reader,Beginner,Food, fiction,Spanish language materials,Palomas,Ficción juvenil,Patos"
Always room for one more,"Sharing,Juvenile poetry,Texts,Travelers,Scottish Folk songs,Generosity,Scots Folk songs,Reciprocity (Psychology),Caldecott Medal,Stories in rhyme,Kindness,Folk-songs, Scots,Juvenile literature,Biography,Artists,Family,Folk music,Juvenile fiction,Scotland,Folk songs,Picture book,Caldecott Medal books,Children's fiction,Picture books,Nursery rhymes,Folk poetry, Scottish,Hospitality,Scottish Folk poetry,Family life, fiction,Music, fiction,collectionID:caldecott60,English Folk songs,award:Caldecott_award,lexile_code:NP,age:min:3,age:max:6,grade:min:2,grade:max:Preschool"
The paperboy,"Juvenile fiction,Fiction,Newspaper carriers,Morning,Picture books,Rising and setting,Responsibility,Determination (Personality trait),Night,Sleep,BDAY BOOK 96-97,Dogs,Dreams,Boys, fiction,Children's fiction,Dogs, fiction,Dreams, fiction,Sleep, fiction,Night, fiction,collectionID:caldecotthonor90"
Zen Shorts,"Giant panda,Brothers and sisters,Storytelling,Bears,Juvenile fiction,Fiction,Siblings,Pandas,Children's fiction,Short stories,Pandas, fiction,Storytelling, fiction,Buddhist Folktales,Picture books,Bears, fiction,Brothers and sisters, fiction,collectionID:caldecotthonor00,Spanish language materials"
Little Red Riding Hood (First Stories),"Little Red Riding Hood (Tale),Pictorial works,Juvenile fiction,Fairy tales,Folklore,Children's stories,Picture books,Children's literature,Picture books for children,Virginia Witucke Little Red Riding Hood Collection,Contes,Anglais (langue),Children's fiction,Fairies, fiction,Fantasy fiction"
The Princess and the Wizard,"Pictorial worksJuvenile fiction,Juvenile fiction,Wizards,Magic,Princesses,Children's fiction,Princesses, fiction,Wizards, fiction,Magic, fiction,Picture books"
"Night Monkey, Day Monkey","Polarity,Night,Juvenile fiction,Day,Monkeys,Pictorial works,Fiction,Play,Children's stories,Friendship,Children's fiction,Friendship, fiction,Monkeys, fiction,Picture books,Polarity, fiction,Night, fiction,Day, fiction,Stories in rhyme"
Franklin's bad day,"Fiction,Friendship,Household Moving,Moving, Household,Spanish language materials,Turtles,Children's fiction,Franklin (fictitious character : bourgeois), fiction,Turtles, fiction,Moving, household, fiction,grief,grumpy,sadness,children,Franklin (Fictitious character : Bourgeois),Juvenile fiction,Frustration,Loneliness,Picture books for children,Benjamin (Personnage fictif : Bourgeois),Romans, nouvelles, etc. pour la jeunesse,Solitude,Amitié,Livres d'images pour enfants,Mauvaise humeur,Ennui,Loneliness, fiction,Friendship, fiction,Picture books"
The koala who could,"Stories in rhyme,Koala,Self-confidence,Animals,Juvenile fiction,Emotions,Children's fiction,Koala, fiction,Animals, fiction,Self-confidence, fiction,Emotions, fiction,Fear, fiction,Change (Psychology),Picture books,Toy and movable books"
Love monster,"Juvenile fiction,Fiction,Love,Picture books,Monsters,Children's fiction,Monsters, fiction,Romance fiction,Love, fiction,Parent and child,Love stories"
Meg and Mog,"Meg (Fictitious character : Nicoll),Mog (Fictitious character : Nicoll),Juvenile fiction,Witches,Pictorial works,Children's fiction,Picture books,Children's plays, English,Fiction,Cats,Owls,Sorcières,Romans, nouvelles, etc. pour la jeunesse,Plays,Children's plays,Witches, fiction"
The Princess in Black Takes a Vacation,"fantasy,adventure,juvenile literature,Vacations,Sea monsters,Princesses,Juvenile fiction,Monsters,Superheroes,Fiction,Children's fiction,Princesses, fiction,Vacations, fiction,Picture books"
Up and Down,"Fly,Cannon,Flying,Friend,Friendship,Cannonball,Flight,Juvenile fiction,Penguins,Fiction,Children's fiction,Penguins, fiction,Flight, fiction,Friendship, fiction,Picture books,Toy and movable books,Best friends,Pictorial works,Children's stories,Amistad,Ficción juvenil,Vuelo,Pingüinos"
Roland the Minstrel Pig,"Pigs,Fiction,Children's stories,Children's fiction,Pigs, fiction,Singing, fiction,Foxes, fiction,Singing,Foxes,Swine,Juvenile fiction,Picture books"
Jessica,"Imaginary playmates,Fiction,Juvenile fiction,Children's fiction,Imagination, fiction,Friendship, fiction,Picture books,Imaginary companions"
Noisy Farm,"Livestock,Children's fiction,Picture books,Domestic animals, fiction,Toy and movable books,Farms,Domestic animals,Pictorial works,Juvenile fiction,Animals, fiction"
We All Went on Safari,"Numerals,Jungle animals,Swahili language,Animals,Counting-out rhymes,Zoology,Safaris,Counting,Juvenile literature,Children's stories,Irish"",Swahili,Novela,Contar (Enumerar),Números,Literatura juvenil,Fiction,picture books,Children's stories, Irish,Children's fiction,Tanzania, fiction,Counting books,Tanzania,Counting, juvenile literature,Animals, juvenile literature,Juvenile fiction,Africa, history,Africa, juvenile literature,Hunting,Hunting, juvenile literature"
Storytime Stickers,"Haunted houses,Juvenile fiction,Halloween,Dinosaurs, juvenile literature,Dinosaurs,Fairies, fiction,Animals, fiction,Forests and forestry, fiction,Children's fiction,Picture books,Toy and movable books,Automobiles, juvenile literature,Automobiles,Insects, fiction,Horses, juvenile literature,Horses,Underwater exploration,Oceanography, juvenile literature,Christmas, fiction,Halloween, fiction,Rabbits, fiction,Easter, fiction,Friendship, fiction"
The Big Sneeze (Early Bird),"Humorous stories,Barns,Juvenile fiction,Sneezing,Farm life,Fiction,Children's fiction,Family life, fiction,Children's Books -- Literature,Farm life, fiction,Picture books"
Growing Frogs,"Frogs,Juvenile literature,Growth,Infancy,Development,Frogs, juvenile literature,Pictorial works,Children's fiction,Frogs, fiction,Growth, fiction,Picture books"
Mop top,"Care and hygiene,Fiction,Hair,Children's fiction,Friendship, fiction,Boys,Juvenile fiction,Intergenerational relations,Imagination,Play,Barbers,Birthday parties,Accelerated Reader,Picture books"
"Petunia, beware!","Fiction,Geese,Petunia (Fictitious character : Duvoisin),Children's stories,Children's fiction,Picture books"
Zeralda's ogre,"Children's stories,Fairy tales,Children's fiction,Picture books"
In the Attic,"Fiction,Imagination,Attics,Children's stories, Japanese,Children's fiction,Imagination, fiction,Houses, fiction,Picture books,Imagination chez l'enfant,Ouvrages illustrés,Greniers (Étages),Ouvrages pour la jeunesse"
The Dog,"Dogs,Fiction,Children's stories,Picture books,Dogs, fiction,Children's fiction,Non-classifiable"
Cops and robbers,"Children's stories,Christmas,Fiction,Robbers and outlaws,Stories in rhyme,Picture books,Children's fiction,Robbers and outlaws, fiction,Christmas, fiction,Police, fiction,Criminals, fiction"
The Lamb and the Butterfly,"Fiction,Sheep,Individuality,Butterflies,Juvenile fiction,Picture books,Children's fiction,Butterflies, fiction,Sheep, fiction,Individuality, fiction"
First Hundred Words In French,"French language,French language, juvenile literature,Picture books,Pictorial works,Juvenile literature,Vocabulary,French language, textbooks for children,Vocabulary, juvenile literature"
Market day,"Juvenile fiction,Markets,Apple Tree Farm (Imaginary place),Pictorial works,Children's fiction,Picture books,English language, juvenile literature,Readers,Apple Tree Farm (Imaginart place),Pictorial works),Geese,Picture books for children,Marchés,Romans, nouvelles, etc. pour la jeunesse,Oies,Livres d'images pour enfants"
The Growing Story,"Juvenile fiction,Fiction,Growth,Seasons,Children,Children's fiction,Growth, fiction,Boys, fiction,Picture books,Body size,Animaux,Croissance,Ouvrages pour la jeunesse,Plantes,Enfants,Livres illustrés pour enfants,Mères et fils,Fermes,Animaux de la ferme,Saisons,Inquiétude"
Flower Fairies of the Wayside (R/I),"Children's poetry, English,English Fairy poetry,English poetry,Fairies,Flowers,Juvenile poetry,Poetry,Wild flowers,Flower painting and illustration,Picture books for children,Picture books,Children's fiction,Fairies, fiction,Children's poetry"
Anna Goes to School (Picture Playbooks),"Kindergarten,Juvenile fiction,Schools,Fiction,Gujarati language,Readers,Picture books,Écoles,Livres d'images"
Henry and Mudge and the Careful Cousin,"Picture books,Dogs in fiction,Juvenile fiction,Cousins in fiction,Fiction,Orderliness in fiction,Cousins,Orderliness,Dogs,Children: Grades 1-2,Children's fiction,Dogs, fiction,Mudge (fictitious character), fiction,Series:Henry and Mudge"
Let's Be Enemies,"Friendship,Fiction,Juvenile fiction,Children's fiction,Friendship, fiction,Picture books"
"Kleiner Eisbär, wohin fährst du?","Missing children,Bears,Juvenile fiction,Fiction,Lost children,Polar bear,Spanish language materials,Pictorial works,Niños desaparecidos,Ficción juvenil,Osos,Picture books,Children's Books/Ages 4-8 Fiction,Children: Grades 1-2,Children: Kindergarten,Action & Adventure - General,Animals - Bears,Juvenile Fiction / Action & Adventure,Animals - General,Sports & Recreation - General,Children's fiction,Bears, fiction"
Dr. Seuss's sleep book,"Children's Books,Fiction,Stories in rhyme,Juvenile fiction,Sleep,Children's stories,Readers (Primary),Pictorial works,Fantasy,Picture books,Sleep, fiction,Children's fiction"
The People Could Fly,"African Americans,Tales,Slavery,Folklore,Books on compact disc,Juvenile literature,Slavery -- Folklore,African Americans -- Folklore,Folklore -- United States,1000blackgirlbooks,African americans, folklore,Folklore, united states,Children's fiction,Slavery, fiction,Picture books"
Lentil,"Fiction,Harmonica,Juvenile fiction,Jealousy,Boys,Musicians,Heroes,Singing,Parades,City and town life,Children's fiction,Harmonica, fiction,Picture books"
No jumping on the bed!,"Spanish language materials,Fiction,Big books,Apartment houses,Juvenile fiction,Bedtime,Children's fiction,Behavior, fiction,Picture books,Play, fiction"
Dandelion,"Fiction,Lions,Lion,Juvenile fiction,Dandies,Animals,Folly,Pride and vanity,Parties,Friendship,Accelerated Reader 3.1.,Lion, fiction,Children's fiction,Picture books,Flowers, fiction"
1st Thousand Words Japanese,"Japanese language,Juvenile literature,Vocabulary,Textbooks for foreign speakers,English,Japanese language, juvenile literature,Picture books"
"It's Justin Time, Amber Brown","Picture books,Spanish language materials,Birthdays,Fiction,Time,Best friends,Clocks and watches,Cumpleaños,Tiempo,Amber Brown (Fictitious character),Juvenile fiction,Ficción juvenil,Relojes,Children's fiction,Girls, fiction,Brown, amber (fictitious character), fiction,Friendship, fiction,Clocks and watches, fiction,Birthdays, fiction"
The secret life of squirrels,"Schools,Juvenile fiction,Squirrels,First day of school,Teachers,Children's fiction,Teachers, fiction,Schools, fiction,First day of school, fiction,Squirrels, fiction,Cousins,Friendship,Fiction,Picture books,Love, fiction,Valentine's day, fiction,Fantasy,Photography,Pets,Romance fiction,Valentine's Day,Love,JUVENILE FICTION,Animals,Holidays & Celebrations,Holidays"
Hey Duggee,"Children's fiction,Picture books"
Purplicious,"Children's fiction,Schools, fiction,Color, fiction,Individuality, fiction,Fiction,Schools,Pink,Individuality,Color,Juvenile fiction,Bullying,Loneliness,Picture books"
Zog,"Children's fiction,Dragons, fiction,Stories in rhyme,Humorous stories,Schule,Juvenile fiction,Fiction,Princesses,Schools,Drache,Jungtiere,Dragons,Pictorial works,Picture books,Readers"
"A boy, a dog, a frog and a friend","Stories without words,Juvenile fiction,Fishing,Animals,Turtles,Frogs,Children's stories,Friendship,Fiction,Fishing stories,Children's fiction,Friendship, fiction,Boys, fiction,Dogs, fiction,Fiction, general,Picture books"
A Child of Books,"picture books,storytelling,reading,juvenile literature,Books and reading,Imagination,Juvenile fiction,nyt:picture-books=2016-09-25,New York Times bestseller,Children's fiction,Imagination, fiction,Books and reading, fiction,Livres,Romans, nouvelles, etc. pour la jeunesse,Liberté,Fiction,Lecture,Partage,Amitié,Ouvrages pour la jeunesse"
Knuffle Bunny,"Fiction,Juvenile fiction,Self-service laundries,Lost and found possessions,Novela infantil,Stuffed animals (Toys),Fathers and daughters,Laundry,Lost articles,Toys,Spanish language materials,Speech,Habla,Father-daughter relationship,Lavandería,Objetos perdidos,Juguetes,Reading materials,Spanish language,Picture books,Parent and child,Children's fiction,Rabbits, fiction,Humorous stories,collectionID:caldecotthonor00,Toys, fiction,Lavanderías de autoservicio,Peluches (Juguetes),Ficción juvenil,Artículos perdidos,Objets transitionnels"
My Friend is Sad,"Elephant and Piggy,juvenile fiction,picture books,emotions,Pigs,Fiction,Elephants,Emotions,Friendship,Humor,Juvenile Fiction,Children's fiction,Pigs, fiction,Elephants, fiction,Emotions, fiction,Friendship, fiction,Swine,Juvenile fiction,Sadness,Gerald (Fictitious character : Willems),Piggie (Fictitious character : Willems),Grief, fiction"
"White Snow, Bright Snow","White Snow,Bright Snow,Alvin Tresselt [1900-2000],Roger Duvoisin [1900-1980],1947,Ages 4-8. Preschool to gr. 3,snowfall,snowmen,button eyes,cork nose,pipe,stovepipe hat,Conduct of life,Snowflakes,Juvenile fiction,Snow,Fiction,Blizzards,Children,Winter,Children's stories, American,collectionID:caldecott40,Picture books,Children's fiction,Snow, fiction,Caldecott Medal,award:Caldecott_award,lexile:660,lexile_range:601-700,age:min:4,age:max:8,grade:min:Preschool,grade:max:3"
King Jack and the dragon,"Fear of the dark,Stories in rhyme,Play,Imagination,Fiction,Children's fiction,Imagination, fiction,Play, fiction,Fear, fiction,Kings, queens, rulers, etc., fiction,Juvenile fiction,Mythical Animals,Kings and rulers,Courage,Dragons,Pictorial works,Courage, fiction,Picture books,Dragons, fiction,Imaginación,Juegos infantiles,Animales fabulosos,Ficción juvenil,Cuentos en rima,Miedo de la oscuridad,Spanish language materials,Child and youth fiction"
King Kong,"Fiction, science fiction, action & adventure,King kong (fictitious character), fiction,Adventure and adventurers, fiction,Children's fiction,King Kong (Fictitious character),Fiction,Motion picture industry,Apes,Gorilla,Adventure stories,Picture books"
Going on a Plane (First Experiences),"Airplanes,Juvenile literature,Social Issues - New Experience,Children's 4-8 - Picturebooks,Children: Preschool,Transportation - Aviation,Fiction,Personal, health & social education (PHSE),Picture books,Transportation - Airplanes,Vacations,German language materials,Air travel,Juvenile fiction,Pictorial works,Children's fiction,Airplanes, fiction,Transport pasażerski,Transport powietrzny"
Mama Rex & T,"Play,Tyrannosaurus rex,Halloween,Fiction,Dinosaurs,Lost children,Cooperativeness,Best friends,Fear,Mother and child,Picture books,Mothers and sons,Grocery shopping,Children's fiction,Holidays, fiction,Parent and child, fiction,Dinosaurs, fiction,Behavior, fiction,Friendship, fiction,Storms, fiction,Halloween, fiction,Shopping, fiction,Dinosaurs, juvenile literature"
The Squirrels Who Squabbled,"Children's fiction,Picture books,Squirrels, fiction,Squirrels -- Juvenile fiction,Friendship -- Juvenile fiction,Conflict management -- Juvenile fiction,Sharing -- Juvenile fiction,Conflict management,Friendship,Sharing,Squirrels"
It Wasn't Me,"Interpersonal relations,Juvenile fiction,Brothers and sisters,Individuality,Picture books for children,Specimens,Spanish language materials,Fiction,Relaciones humanas,Novela juvenil,Hermanos,Individualidad,Libros de láminas para niños,Especímenes,Administración de conflictos,Humorous Stories,Family,Conflict management,Family life,Siblings,General,Children's fiction,Picture books,JUVENILE FICTION / Humorous Stories,JUVENILE FICTION / General,JUVENILE FICTION / Family / Siblings,Toy and movable books,Family life, fiction"
Katie's Picture Show,"Museums,Fiction,Art appreciation,Child and youth fiction,Art museums,Pictorial works,Juvenile fiction,Children's fiction,Picture books,Art, fiction"
Terrific trains,"Railroads,Juvenile literature,Railroads, trains, juvenile literature,Railroads, trains,Board books,Children's fiction,Locomotives, fiction,Stories in rhyme,Railroads, fiction,Toy and movable books,Picture books,Locomotives,Pictorial works,Juvenile fiction,Railroad trains,Railroads -- Juvenile literature,series:Amazing_Machines"
Grizzwold,"Bears,Juvenile fiction,Fiction,Children's fiction,Picture books,Bears, fiction,Readers,Humorous stories"
Rain,"Rain and rainfall,Juvenile literature,Interdisciplinary approach in education,Reading (Elementary),Children: Babies Toddlers,Picture books,Picture books for children"
"Dinosaurs, dinosaurs","Dinosaurs,Juvenile literature,Extinct animals,Fiction,Children's fiction,Dinosaurs, fiction,Dinosaurs, juvenile literature,Pictorial works,Picture books"
Sugarlump and the Unicorn,"Unicorns,Juvenile fiction,Merry-go-round horses,Rocking horses,Wishes,Fiction,Children's fiction,Picture books,Toy and movable books,Unicorns, fiction,Horses, fiction,Children's stories,Board books,Licornes,Romans, nouvelles, etc. pour la jeunesse,Chevaux de bois,Chevaux à bascule,Souhaits,Histoires pour enfants,Livres tout carton"
Oxford Reading Tree,"Children's fiction,Kidnapping, fiction,Readers,Picture books,Children's stories, English,Readers (Primary),Juvenile fiction,Readers (Elementary)"
Roses Sing on New Snow: A Delicious Tale,"Children: Grades 4-6,Chinese Cookery,Chinese Americans,Fiction,Speeches, addresses, etc., Latin,Juvenile fiction,Chinese Cooking,Picture books,Children's fiction,Roses, fiction,Chinese, united states, fiction"
Too Much Noise,"Children: Kindergarten,Children's literature, study and teaching,Children's fiction,Noise, fiction,Fiction,Juvenile fiction,Noise,Animals,Picture books for children,Picture books"
Georgie,"Fiction,Ghost stories,Ghosts,Haunted houses,Spanish language materials,Juvenile fiction,Cuentos de fantasmas,Picture books,Haunted places,Children's fiction,Ghosts, fiction"
Children of the Forest,"Forest life,Children's stories,Children,Elves,Fiction,Seasons,Swedish language materials,Stories in rhyme,Juvenile fiction,Picture books,Picture books for children,Seasons, fiction,Children's fiction"
I'll Be You and You Be Me,"Long Now Manual for Civilization,Friendship,Fiction,Children's fiction,Picture books,Identity, fiction,Friendship, fiction"
Bubble trouble,"Children's fiction,Stories in rhyme,Humorous stories,Bubbles,Board books,Fiction,Picture books,Juvenile fiction,nyt:picture-books=2010-02-07,New York Times bestseller"
Other Side of the Story,"Picture books,Picture books for children"
The wheels on the bus,"Children's songs,Songs and music,Texts,Buses,Songs,Textes,Chansons enfantines,Children's fiction,Buses, fiction,Picture books,Picture books for children"
Kubla Khan,"Toy and movable books,Specimens,Facsimiles,English Manuscripts,English poetry,Manuscripts,Picture books"
Portable Pets,"Puzzles, juvenile literature,Puzzles,Dinosaurs,Dinosaurs, juvenile literature,Children's fiction,Sea horses, fiction,Locusts, fiction,Snails, fiction,Picture books,Bees, fiction,Grasshoppers,Fiction,Sea horses,Triceratops,Juvenile literature,Toy and movable books,Specimens,Bumblebees,Bees,Snails"
Old Pig,"Pigs,Death,Fiction,Children's fiction,Pigs, fiction,Death, fiction,Grandmothers,Juvenile fiction,Swine,Child and youth fiction,Picture books"
The surprise party,"Communication,Animals,Fiction,Children's stories,Mice,Parties,Children's fiction,Picture books,Animals, fiction,Communication, fiction"
A tale for Easter,"Easter,Juvenile fiction,Fiction,Animals,Children's fiction,Easter, fiction,Picture books,Easter stories,Board books,Toy and movable books"
Gilbert in Deep,"Sharks,Juvenile fiction,Fear,Fiction,Children's fiction,Sharks, fiction,Picture books,0-5 years; Fiction; Picture Book; Non-character; Non Tie-in,Pictorial works,Fear, fiction"
"Stille Nacht, heilige Nacht","Musical books,Carols, German,Toy and movable books,Texts,Carols,German Carols,Miniature books,Christmas music,Specimens,Christmas, fiction,Children's fiction,Christmas, juvenile literature,Picture books,Hymns,Children's songs,Songs"
Mister Daydream,"Children's stories,Children's fiction,Behavior, fiction,Imagination, fiction,Imagination,Juvenile fiction,Mr. Men (Fictitious characters),Picture books,Behavior,Fiction,Pictorial works,Fantasy,Characters and characteristics,Personality,Humorous stories"
The Night Gardener,"topiaries,Juvenile Fiction,juvenile literature,picture books,Gardeners,Topiary work,Fiction,Children's fiction,Picture books,Gardening, fiction"
Frog and Toad (Days with Frog and Toad / Frog and Toad All Year / Frog and Toad Are Friends / Frog and Toad Together),"amistad,amitie,amitié,animals,beginner,beginning reader,best friends,books and reading,chapter book,children's fiction,children's short stories in english,children's stories,classics,comedy & humor,cookies,courage,crapauds,dragons,easy books,emotions & feelings,ficción juvenil,fiction,Fiction,accelerated reader 1.4,friendship,frogs,frogs & toads,Frogs, fiction,gardens,giants,grenouilles,humor & funny stories,i can read book,juvenile audience,juvenile fiction,juvenile literature,juvenile works,kindness,lectures et morceaux choisis,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,loyalty,materiales en español,newbery honor,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,sharing,sharing & cooperating,short stories,short stories for young readers,social themes,Spanish language,Spanish language materials,study and teaching,toads,vocabulary,Friendship,Juvenile fiction,Frogs,Toads,Fiction,Children's fiction,Friendship, fiction,Adventure and adventurers, fiction,Frog and toad (fictitious characters), fiction,Primers"
